,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,pH,sulphates,alcohol,quality
34,6.9,0.19,0.28,5.0,0.057999999999999996,14.0,146.0,3.29,0.36,9.1,6
35,7.4,0.39,0.23,7.0,0.033,29.0,126.0,3.14,0.42,10.5,7
36,6.4,0.595,0.14,5.2,0.057999999999999996,15.0,97.0,3.38,0.36,9.0,4
37,7.4,0.24,0.42,14.0,0.066,48.0,198.0,2.89,0.42,8.9,5
38,6.3,0.36,0.3,4.8,0.049,14.0,85.0,3.28,0.39,10.6,5
39,9.8,0.42,0.48,9.85,0.034,5.0,110.0,2.87,0.29,10.0,5
40,6.3,0.22,0.43,4.55,0.038,31.0,130.0,3.35,0.33,11.5,8
41,5.9,0.23,0.3,12.9,0.054000000000000006,57.0,170.0,3.28,0.39,9.4,6
42,6.9,0.27,0.4,14.0,0.05,64.0,227.0,3.18,0.58,9.6,5
43,6.7,0.24,0.41,9.4,0.04,49.0,166.0,3.12,0.61,9.9,6
44,6.6,0.28,0.28,8.5,0.052000000000000005,55.0,211.0,3.09,0.55,8.9,4
45,6.8,0.26,0.24,7.8,0.052000000000000005,54.0,214.0,3.13,0.47,8.9,5
46,6.8,0.18,0.38,1.4,0.038,35.0,111.0,3.32,0.59,11.2,7
47,6.2,0.25,0.25,1.4,0.03,35.0,105.0,3.3,0.44,11.1,7
48,7.1,0.24,0.41,17.8,0.046,39.0,145.0,3.32,0.39,8.7,5
49,6.8,0.64,0.08,9.7,0.062,26.0,142.0,3.37,0.46,8.9,4
50,8.3,0.28,0.4,7.8,0.040999999999999995,38.0,194.0,3.34,0.51,9.6,6
51,7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,3.09,0.44,9.0,6
52,7.2,0.23,0.38,14.3,0.057999999999999996,55.0,194.0,3.09,0.44,9.0,6
53,6.8,0.52,0.32,13.2,0.044000000000000004,54.0,221.0,3.27,0.5,9.6,5
54,6.9,0.4,0.56,11.2,0.043,40.0,142.0,3.14,0.46,8.7,5
55,6.4,0.23,0.39,1.8,0.032,23.0,118.0,3.32,0.5,11.8,7
56,5.3,0.58,0.07,6.9,0.043,34.0,149.0,3.34,0.57,9.7,6
57,5.2,0.6,0.07,7.0,0.044000000000000004,33.0,147.0,3.33,0.58,9.7,6
58,7.7,0.26,0.4,1.1,0.042,9.0,60.0,2.89,0.5,10.6,5
59,6.8,0.32,0.34,1.2,0.044000000000000004,14.0,67.0,3.05,0.47,10.6,5
60,6.1,0.31,0.58,5.0,0.039,36.0,114.0,3.3,0.6,12.3,7
61,6.7,0.34,0.3,15.6,0.054000000000000006,51.0,196.0,3.19,0.49,9.3,5
62,7.3,0.32,0.25,7.2,0.055999999999999994,47.0,180.0,3.08,0.47,8.8,5
63,7.5,0.17,0.44,11.3,0.046,65.0,146.0,3.17,0.45,10.0,6
64,6.2,0.33,0.27,4.9,0.036000000000000004,30.0,134.0,3.2,0.42,10.4,6
65,7.8,0.25,0.41,3.7,0.042,37.0,149.0,3.36,0.45,10.0,6
66,6.3,0.23,0.3,1.8,0.033,16.0,91.0,3.28,0.4,11.8,6
67,6.3,0.23,0.3,1.8,0.033,16.0,91.0,3.28,0.4,11.8,6
68,8.0,0.24,0.36,1.5,0.047,17.0,129.0,3.2,0.54,10.0,5
69,5.4,0.29,0.47,3.0,0.052000000000000005,47.0,145.0,3.29,0.75,10.0,6
70,6.1,0.36,0.33,1.1,0.05,24.0,169.0,3.15,0.78,9.5,6
71,7.3,0.22,0.37,14.3,0.063,48.0,191.0,2.89,0.38,9.0,6
72,6.9,0.33,0.21,1.0,0.053,39.0,148.0,3.12,0.45,9.4,5
73,6.9,0.33,0.21,1.0,0.053,39.0,148.0,3.12,0.45,9.4,5
74,7.7,0.29,0.48,2.3,0.049,36.0,178.0,3.17,0.64,10.6,6
75,7.3,0.2,0.44,1.4,0.045,21.0,98.0,3.15,0.46,10.0,7
76,7.5,0.35,0.28,9.6,0.051,26.0,157.0,3.12,0.53,9.2,5
77,6.3,0.39,0.35,5.9,0.04,82.5,260.0,3.12,0.66,10.1,5
78,6.5,0.36,0.32,1.1,0.031,13.0,66.0,3.1,0.46,10.6,5
79,6.8,0.37,0.51,11.8,0.044000000000000004,62.0,163.0,3.19,0.44,8.8,5
80,6.8,0.27,0.12,1.3,0.04,87.0,168.0,3.18,0.41,10.0,5
81,6.3,0.2,0.4,1.5,0.037000000000000005,35.0,107.0,3.46,0.5,11.4,6
82,6.1,0.35,0.07,1.4,0.069,22.0,108.0,3.23,0.52,9.2,5
83,7.1,0.27,0.31,18.2,0.046,55.0,252.0,3.07,0.56,8.7,5
84,6.8,0.22,0.31,6.3,0.035,33.0,170.0,3.24,0.66,12.6,7
85,5.8,0.28,0.34,4.0,0.031,40.0,99.0,3.39,0.39,12.8,7
86,7.2,0.25,0.39,18.95,0.038,42.0,155.0,2.97,0.47,9.0,6
87,7.2,0.25,0.39,18.95,0.038,42.0,155.0,2.97,0.47,9.0,6
88,7.0,0.21,0.28,8.6,0.045,37.0,221.0,3.25,0.54,10.4,6
89,7.2,0.55,0.09,1.5,0.10800000000000001,16.0,151.0,3.07,0.57,9.2,5
90,6.6,0.16,0.32,1.4,0.035,49.0,186.0,3.35,0.64,12.4,6
91,6.9,0.24,0.36,20.8,0.031,40.0,139.0,3.2,0.33,11.0,6
92,6.5,0.41,0.24,14.0,0.048,24.0,113.0,3.44,0.53,9.8,6
93,6.4,0.28,0.29,1.6,0.052000000000000005,34.0,127.0,3.48,0.56,10.5,6
94,6.3,0.23,0.31,1.5,0.022000000000000002,11.0,82.0,3.3,0.4,12.9,7
95,7.1,0.21,0.27,8.6,0.055999999999999994,26.0,111.0,2.95,0.52,9.5,6
96,7.2,0.39,0.62,11.0,0.047,66.0,178.0,3.16,0.5,8.7,5
97,8.6,0.37,0.7,12.15,0.039,21.0,158.0,3.0,0.73,9.3,5
98,6.5,0.38,0.34,3.4,0.036000000000000004,34.0,200.0,3.14,0.76,10.0,6
99,6.6,0.24,0.29,2.0,0.023,19.0,86.0,3.25,0.45,12.5,7
100,7.0,0.22,0.28,1.5,0.037000000000000005,29.0,115.0,3.11,0.55,10.5,6
101,6.3,0.22,0.33,1.7,0.040999999999999995,67.0,164.0,3.32,0.56,10.4,6
102,5.8,0.25,0.24,13.3,0.044000000000000004,41.0,137.0,3.34,0.42,9.5,5
103,6.0,0.24,0.27,1.9,0.048,40.0,170.0,3.64,0.54,10.0,7
104,5.9,0.62,0.28,3.5,0.039,55.0,152.0,3.44,0.44,12.0,7
105,6.7,0.27,0.12,1.3,0.040999999999999995,62.0,138.0,3.21,0.42,10.0,5
106,6.1,0.31,0.26,2.2,0.051,28.0,167.0,3.37,0.47,10.4,5
107,7.4,0.15,0.42,1.7,0.045,49.0,154.0,3.0,0.6,10.4,6
108,7.2,0.34,0.34,12.6,0.048,7.0,41.0,3.19,0.4,11.7,6
109,5.2,0.36,0.02,1.6,0.031,24.0,104.0,3.44,0.35,12.2,6
110,7.4,0.25,0.36,13.2,0.067,53.0,178.0,3.01,0.48,9.0,6
111,7.9,0.345,0.51,15.3,0.047,54.0,171.0,3.09,0.51,9.1,5
112,6.8,0.25,0.24,4.55,0.053,41.0,211.0,3.37,0.67,9.5,5
113,6.5,0.18,0.31,1.7,0.044000000000000004,30.0,127.0,3.49,0.5,10.2,6
114,7.2,0.46,0.65,10.4,0.05,76.0,192.0,3.16,0.42,8.7,5
115,7.8,0.28,0.34,1.6,0.027999999999999997,32.0,118.0,3.0,0.38,12.1,7
116,8.4,0.35,0.71,12.2,0.046,22.0,160.0,2.98,0.65,9.4,5
117,7.2,0.34,0.44,4.2,0.047,51.0,144.0,3.01,0.76,12.3,6
118,7.4,0.3,0.22,1.4,0.046,16.0,135.0,3.08,0.77,10.4,5
119,6.1,0.26,0.51,2.2,0.05,61.0,154.0,3.08,0.6,9.8,6
120,7.4,0.41,0.66,10.8,0.051,77.0,194.0,3.05,0.46,8.7,5
121,6.5,0.28,0.29,2.7,0.038,26.0,107.0,3.32,0.41,11.6,7
122,7.3,0.3,0.22,6.4,0.055999999999999994,44.0,168.0,3.13,0.35,10.1,5
123,7.4,0.24,0.22,10.7,0.042,26.0,81.0,2.86,0.36,9.7,6
124,6.9,0.28,0.27,2.1,0.036000000000000004,42.0,121.0,3.42,0.49,10.8,7
125,7.0,0.29,0.37,4.9,0.034,26.0,127.0,3.17,0.44,10.8,6
126,6.4,0.45,0.07,1.1,0.03,10.0,131.0,2.97,0.28,10.8,5
127,7.3,0.25,0.29,7.5,0.049,38.0,158.0,3.43,0.38,9.6,5
128,7.5,0.21,0.68,10.9,0.045,38.0,133.0,3.0,0.36,8.7,5
129,7.4,0.19,0.3,1.4,0.057,33.0,135.0,3.12,0.5,9.6,6
130,6.5,0.26,0.43,8.9,0.083,50.0,171.0,2.85,0.5,9.0,5
131,7.0,0.23,0.42,18.05,0.05,35.0,144.0,3.22,0.42,8.8,5
132,6.3,0.26,0.25,7.8,0.057999999999999996,44.0,166.0,3.24,0.41,9.0,5
133,6.5,0.33,0.72,1.1,0.061,7.0,151.0,3.09,0.57,9.5,5
134,7.4,0.105,0.34,12.2,0.05,57.0,146.0,3.16,0.37,9.0,6
135,6.8,0.29,0.16,1.4,0.038,122.5,234.5,3.15,0.47,10.0,5
136,6.8,0.25,0.34,14.0,0.032,47.0,133.0,3.37,0.5,12.2,6
137,6.1,0.14,0.25,1.3,0.047,37.0,173.0,3.35,0.46,10.0,6
138,6.7,0.31,0.3,2.1,0.038,18.0,130.0,3.36,0.63,10.6,6
139,7.6,0.29,0.58,17.5,0.040999999999999995,51.0,225.0,3.16,0.66,9.5,5
140,7.5,0.31,0.51,14.8,0.039,62.0,204.0,3.06,0.6,9.5,5
141,6.4,0.33,0.28,1.1,0.038,30.0,110.0,3.12,0.42,10.5,6
142,6.1,0.25,0.24,12.1,0.046,51.0,172.0,3.35,0.45,9.5,5
143,8.2,0.27,0.43,1.6,0.035,31.0,128.0,3.1,0.5,12.3,6
144,6.6,0.33,0.31,1.3,0.02,29.0,89.0,3.26,0.44,12.4,7
145,7.8,0.3,0.4,1.8,0.027999999999999997,23.0,122.0,3.14,0.39,10.9,6
146,6.0,0.33,0.27,0.8,0.185,12.0,188.0,3.12,0.62,9.4,5
147,6.5,0.23,0.33,13.8,0.042,25.0,139.0,3.35,0.56,10.4,6
148,7.4,0.38,0.27,7.5,0.040999999999999995,24.0,160.0,3.17,0.43,10.0,5
149,7.2,0.29,0.4,7.6,0.024,56.0,177.0,3.04,0.32,11.5,6
150,6.9,0.2,0.5,10.0,0.036000000000000004,78.0,167.0,3.15,0.55,10.2,6
151,7.0,0.21,0.34,8.5,0.033,31.0,253.0,3.22,0.56,10.5,6
152,5.9,0.35,0.47,2.2,0.11,14.0,138.0,3.09,0.5,9.1,5
153,7.1,0.28,0.44,1.8,0.032,32.0,107.0,3.25,0.48,12.2,6
154,6.9,0.18,0.38,8.1,0.049,44.0,176.0,3.3,0.54,9.8,6
155,6.8,0.12,0.31,5.2,0.045,29.0,120.0,3.41,0.46,9.8,6
156,6.0,0.395,0.0,1.4,0.042,7.0,55.0,3.37,0.38,11.2,4
157,5.9,0.24,0.3,2.0,0.033,28.0,92.0,3.39,0.69,10.9,7
158,6.4,0.46,0.08,4.9,0.046,34.0,144.0,3.1,0.56,10.0,5
159,7.2,0.31,0.26,7.3,0.05,37.0,157.0,3.09,0.43,9.0,5
160,6.0,0.18,0.31,1.4,0.036000000000000004,14.0,75.0,3.34,0.58,11.1,6
161,6.0,0.39,0.17,12.0,0.046,65.0,246.0,3.15,0.38,9.0,5
162,6.0,0.41,0.05,1.5,0.063,17.0,120.0,3.21,0.56,9.2,5
163,6.4,0.35,0.28,1.1,0.055,9.0,160.0,3.42,0.5,9.1,4
164,6.2,0.3,0.17,2.8,0.04,24.0,125.0,3.01,0.46,9.0,5
165,6.6,0.36,0.29,1.6,0.021,24.0,85.0,3.41,0.61,12.4,7
166,6.8,0.18,0.21,5.4,0.053,34.0,104.0,3.3,0.43,9.4,6
167,7.1,0.16,0.36,1.2,0.043,21.0,90.0,3.16,0.42,11.0,7
168,6.9,0.25,0.34,1.3,0.035,27.0,82.0,3.18,0.44,12.2,6
169,7.3,0.205,0.31,1.7,0.06,34.0,110.0,3.72,0.69,10.5,6
170,7.3,0.21,0.29,1.6,0.034,29.0,118.0,3.3,0.5,11.0,8
171,8.2,0.38,0.49,13.6,0.042,58.0,166.0,3.1,0.54,9.4,5
172,7.4,0.2,0.35,2.1,0.038,30.0,116.0,3.49,0.77,10.3,6
173,6.7,0.22,0.39,10.2,0.038,60.0,149.0,3.17,0.54,10.0,6
174,8.1,0.27,0.35,1.7,0.03,38.0,103.0,3.22,0.63,10.4,6
175,6.2,0.28,0.33,1.7,0.028999999999999998,24.0,111.0,3.24,0.5,12.1,6
176,7.8,0.18,0.46,12.6,0.042,41.0,143.0,3.24,0.76,8.5,6
177,7.7,0.34,0.58,11.1,0.039,41.0,151.0,3.06,0.49,8.6,5
178,6.9,0.12,0.36,2.2,0.037000000000000005,18.0,111.0,3.41,0.82,11.9,6
179,6.5,0.3,0.32,2.0,0.044000000000000004,34.0,90.0,3.37,0.68,11.0,7
180,6.5,0.3,0.32,2.0,0.044000000000000004,34.0,90.0,3.37,0.68,11.0,7
181,8.0,0.29,0.29,13.2,0.046,26.0,113.0,3.25,0.37,9.7,6
182,5.9,0.31,0.3,7.7,0.047,60.0,206.0,3.2,0.39,9.6,5
183,8.0,0.23,0.37,9.6,0.054000000000000006,23.0,159.0,3.32,0.47,9.8,6
184,6.3,0.33,0.2,5.8,0.04,24.0,144.0,3.15,0.63,9.9,5
185,7.0,0.24,0.34,1.4,0.031,27.0,107.0,3.06,0.39,11.9,6
186,7.7,0.32,0.62,10.6,0.036000000000000004,56.0,153.0,3.13,0.44,8.9,6
187,6.5,0.26,0.27,12.9,0.044000000000000004,69.0,215.0,3.17,0.43,10.0,6
188,7.7,0.17,0.52,5.9,0.017,21.0,84.0,3.14,0.4,11.9,6
189,6.9,0.48,0.36,3.5,0.03,31.0,135.0,3.14,0.38,12.2,7
190,6.5,0.17,0.33,1.4,0.027999999999999997,14.0,99.0,3.23,0.55,10.1,6
191,8.2,0.23,0.37,1.3,0.042,39.0,117.0,2.99,0.36,10.0,6
192,6.6,0.2,0.32,1.1,0.039,25.0,78.0,3.39,0.54,10.2,7
193,5.5,0.42,0.09,1.6,0.019,18.0,68.0,3.33,0.51,11.4,7
194,5.1,0.42,0.01,1.5,0.017,25.0,102.0,3.38,0.36,12.3,6
195,6.8,0.22,0.35,17.5,0.039,38.0,153.0,3.24,0.42,9.0,6
196,7.6,0.3,0.25,4.3,0.054000000000000006,22.0,111.0,3.12,0.49,9.2,5
197,7.4,0.28,0.3,5.3,0.054000000000000006,44.0,161.0,3.12,0.48,10.3,6
198,7.8,0.27,0.34,1.6,0.046,27.0,154.0,3.05,0.45,10.5,5
199,7.6,0.21,0.6,2.1,0.046,47.0,165.0,3.05,0.54,10.1,6
200,5.8,0.36,0.26,3.3,0.038,40.0,153.0,3.34,0.55,11.3,6
201,6.6,0.22,0.37,1.2,0.059000000000000004,45.0,199.0,3.37,0.55,10.3,6
202,7.6,0.39,0.22,2.8,0.036000000000000004,19.0,113.0,3.03,0.29,10.2,5
203,7.6,0.16,0.44,1.4,0.043,25.0,109.0,3.11,0.75,10.3,5
204,7.1,0.18,0.42,1.4,0.045,47.0,157.0,2.95,0.31,10.5,6
205,8.3,0.14,0.26,1.5,0.049,56.0,189.0,3.21,0.62,9.5,6
206,8.6,0.2,0.42,1.5,0.040999999999999995,35.0,125.0,3.11,0.49,11.4,6
207,6.3,0.6,0.44,11.0,0.05,50.0,245.0,3.19,0.57,9.3,5
208,7.1,0.3,0.36,6.8,0.055,44.5,234.0,3.49,0.64,10.2,5
209,7.1,0.3,0.36,6.8,0.055,44.5,234.0,3.49,0.64,10.2,5
210,7.9,0.64,0.46,10.6,0.244,33.0,227.0,2.87,0.74,9.1,5
211,8.2,0.68,0.3,2.1,0.047,17.0,138.0,3.22,0.71,10.8,5
212,6.1,0.37,0.36,4.7,0.035,36.0,116.0,3.31,0.62,12.6,7
213,7.3,0.24,0.34,7.5,0.048,29.0,152.0,3.1,0.54,9.0,6
214,7.6,0.29,0.42,1.3,0.035,18.0,86.0,2.99,0.39,11.3,6
215,7.0,0.21,0.28,7.5,0.07,45.0,185.0,3.34,0.55,9.4,6
216,6.7,0.26,0.26,4.0,0.079,35.5,216.0,3.31,0.68,9.5,5
217,6.4,0.3,0.51,5.5,0.048,62.0,172.0,3.08,0.45,9.1,5
218,6.2,0.55,0.45,12.0,0.049,27.0,186.0,3.17,0.5,9.3,5
219,6.5,0.26,0.34,16.3,0.051,56.0,197.0,3.49,0.42,9.8,5
220,6.3,0.34,0.29,6.2,0.046,29.0,227.0,3.29,0.53,10.1,5
221,6.3,0.27,0.25,5.8,0.038,52.0,155.0,3.28,0.38,9.4,5
222,6.3,0.23,0.21,5.1,0.035,29.0,142.0,3.36,0.33,10.1,6
223,5.2,0.24,0.45,3.8,0.027000000000000003,21.0,128.0,3.55,0.49,11.2,8
224,7.0,0.24,0.32,1.3,0.037000000000000005,39.0,123.0,3.17,0.42,11.2,7
225,7.0,0.17,0.33,4.0,0.034,17.0,127.0,3.19,0.39,10.6,7
226,7.1,0.21,0.4,1.2,0.069,24.0,156.0,3.42,0.43,10.6,6
227,6.3,0.27,0.25,5.8,0.038,52.0,155.0,3.28,0.38,9.4,5
228,7.9,0.29,0.39,6.7,0.036000000000000004,6.0,117.0,3.12,0.42,10.7,5
229,5.5,0.32,0.45,4.9,0.027999999999999997,25.0,191.0,3.51,0.49,11.5,7
230,6.1,0.29,0.27,1.7,0.024,13.0,76.0,3.21,0.51,12.6,7
231,7.2,0.37,0.15,2.0,0.028999999999999998,27.0,87.0,3.3,0.59,12.6,7
232,8.1,0.45,0.34,8.3,0.037000000000000005,33.0,216.0,3.31,0.64,9.7,6
233,5.8,0.415,0.13,1.4,0.04,11.0,64.0,3.29,0.52,10.5,5
234,6.0,0.4,0.3,1.6,0.047,30.0,117.0,3.17,0.48,10.1,5
235,9.8,0.36,0.45,1.6,0.042,11.0,124.0,2.93,0.46,10.8,5
236,6.5,0.115,0.29,1.95,0.038,73.0,166.0,3.12,0.25,12.9,6
237,6.7,0.25,0.34,12.85,0.048,30.0,161.0,3.44,0.47,9.5,5
238,9.2,0.28,0.46,3.2,0.057999999999999996,39.0,133.0,3.14,0.58,9.5,5
239,7.5,0.14,0.34,1.3,0.055,50.0,153.0,3.29,0.8,9.6,6
240,8.2,0.23,0.49,0.9,0.057,15.0,73.0,3.07,0.38,10.4,5
241,7.4,0.22,0.33,2.0,0.045,31.0,101.0,3.42,0.55,11.4,5
242,6.4,0.25,0.41,8.6,0.042,57.0,173.0,3.0,0.44,9.1,5
243,6.3,0.32,0.35,11.1,0.039,29.0,198.0,3.36,0.5,9.4,5
244,6.8,0.25,0.29,2.0,0.042,19.0,189.0,3.46,0.54,10.2,6
245,7.2,0.2,0.25,4.5,0.044000000000000004,31.0,109.0,3.23,0.36,9.4,6
246,6.4,0.26,0.3,2.2,0.025,33.0,134.0,3.21,0.47,10.6,6
247,6.6,0.21,0.38,2.2,0.026000000000000002,40.0,104.0,3.25,0.4,11.1,7
248,7.1,0.21,0.3,1.4,0.037000000000000005,45.0,143.0,3.13,0.33,9.9,6
249,7.3,0.22,0.4,14.75,0.042,44.5,129.5,3.36,0.41,9.1,7
250,7.4,0.25,0.37,6.9,0.02,14.0,93.0,3.0,0.48,10.7,5
251,7.0,0.26,0.46,15.55,0.037000000000000005,61.0,171.0,2.94,0.35,8.8,6
252,9.7,0.24,0.45,1.2,0.033,11.0,59.0,2.74,0.47,10.8,5
253,8.0,0.61,0.38,12.1,0.301,24.0,220.0,2.94,0.48,9.2,5
254,7.2,0.26,0.44,7.1,0.027000000000000003,25.0,126.0,3.02,0.34,11.1,7
255,6.4,0.23,0.33,1.15,0.044000000000000004,15.5,217.5,3.33,0.44,11.0,6
256,6.8,0.32,0.37,3.4,0.023,19.0,87.0,3.14,0.53,12.7,6
257,7.8,0.32,0.31,1.7,0.036000000000000004,46.0,195.0,3.03,0.48,10.5,6
258,7.4,0.18,0.42,2.1,0.036000000000000004,33.0,187.0,3.4,0.41,10.6,6
259,8.0,0.2,0.4,5.2,0.055,41.0,167.0,3.18,0.4,10.6,6
260,7.3,0.18,0.65,1.4,0.046,28.0,157.0,3.33,0.62,9.4,6
261,9.6,0.29,0.46,1.45,0.039,77.5,223.0,2.92,0.46,9.5,5
262,7.0,0.39,0.31,5.3,0.16899999999999998,32.0,162.0,3.2,0.48,9.4,5
263,8.4,0.35,0.56,13.8,0.048,55.0,190.0,3.07,0.58,9.4,6
264,7.6,0.31,0.29,10.5,0.04,21.0,145.0,3.04,0.35,9.4,5
265,7.0,0.24,0.36,4.9,0.083,10.0,133.0,3.33,0.37,10.8,6
266,8.4,0.16,0.33,1.5,0.033,16.0,98.0,3.14,0.42,9.7,6
267,6.2,0.17,0.3,1.1,0.037000000000000005,14.0,79.0,3.5,0.54,10.3,6
268,7.8,0.23,0.28,4.75,0.042,45.0,166.0,2.96,0.4,11.5,6
269,7.4,0.19,0.42,6.4,0.067,39.0,212.0,3.3,0.33,9.6,6
270,6.4,0.31,0.4,6.2,0.04,46.0,169.0,3.15,0.46,9.3,5
271,9.0,0.24,0.5,1.2,0.048,26.0,107.0,3.21,0.34,12.4,6
272,8.4,0.58,0.27,12.15,0.033,37.0,116.0,2.99,0.39,10.8,5
273,7.2,0.16,0.32,0.8,0.04,50.0,121.0,3.27,0.33,10.0,6
274,7.6,0.54,0.23,2.0,0.028999999999999998,13.0,151.0,3.04,0.33,10.4,5
275,8.4,0.58,0.27,12.15,0.033,37.0,116.0,2.99,0.39,10.8,5
276,7.3,0.23,0.37,1.9,0.040999999999999995,51.0,165.0,3.26,0.4,12.2,7
277,7.3,0.39,0.37,1.1,0.043,36.0,113.0,3.39,0.48,12.7,6
278,8.0,0.57,0.39,3.9,0.034,22.0,122.0,3.29,0.67,12.8,6
279,7.6,0.19,0.41,1.1,0.04,38.0,143.0,2.92,0.42,11.4,5
280,7.3,0.22,0.41,15.4,0.05,55.0,191.0,3.32,0.59,8.9,6
281,6.4,0.25,0.33,1.4,0.04,42.0,115.0,3.19,0.48,11.3,6
282,6.9,0.32,0.16,1.4,0.051,15.0,96.0,3.22,0.38,9.5,5
283,7.3,0.22,0.41,15.4,0.05,55.0,191.0,3.32,0.59,8.9,6
284,7.6,0.28,0.39,1.9,0.052000000000000005,23.0,116.0,3.25,0.4,10.4,5
285,10.7,0.22,0.56,8.2,0.044000000000000004,37.0,181.0,2.87,0.68,9.5,6
286,6.9,0.28,0.3,1.6,0.047,46.0,132.0,3.35,0.38,11.1,6
287,6.9,0.46,0.2,0.9,0.054000000000000006,5.0,126.0,3.1,0.42,10.4,4
288,6.8,0.23,0.4,1.6,0.047,5.0,133.0,3.23,0.7,11.4,6
289,6.2,0.33,0.29,1.3,0.042,26.0,138.0,3.77,0.64,9.5,6
290,5.6,0.49,0.13,4.5,0.039,17.0,116.0,3.42,0.9,13.7,7
291,6.2,0.16,0.47,1.4,0.028999999999999998,23.0,81.0,3.26,0.42,12.2,6
292,7.3,0.25,0.36,13.1,0.05,35.0,200.0,3.04,0.46,8.9,7
293,7.3,0.25,0.36,13.1,0.05,35.0,200.0,3.04,0.46,8.9,7
294,6.3,0.67,0.48,12.6,0.052000000000000005,57.0,222.0,3.17,0.52,9.3,5
295,8.2,0.22,0.36,6.8,0.034,12.0,90.0,3.01,0.38,10.5,5
296,7.1,0.19,0.28,3.6,0.033,16.0,78.0,2.91,0.78,11.4,7
297,7.3,0.25,0.36,13.1,0.05,35.0,200.0,3.04,0.46,8.9,7
298,7.1,0.26,0.32,5.9,0.037000000000000005,39.0,97.0,3.31,0.4,11.6,6
299,6.9,0.3,0.33,4.1,0.035,26.0,155.0,3.25,0.79,12.3,7
300,6.2,0.18,0.49,4.5,0.047,17.0,90.0,3.27,0.37,11.6,6
301,8.2,0.18,0.49,1.1,0.033,28.0,81.0,3.0,0.68,10.4,6
302,7.0,0.39,0.24,1.0,0.048,8.0,119.0,3.0,0.31,10.1,4
303,7.4,0.25,0.49,1.1,0.042,35.0,156.0,3.13,0.55,11.3,5
304,8.2,0.18,0.49,1.1,0.033,28.0,81.0,3.0,0.68,10.4,6
